Word,Meaning,Example,Checked,Column5,Column6
awning,"a rooflike cover, usually of canvas, extended over or before any place as a shelter from the sun, rain, or wind",,0.0,,
"eye bolts, screw eyes",bolts or screws with a circular ring on the head.,,0.0,,
mantle,"A layer inside a planetary body bounded below by a core and above by a crust. A figurative garment representing authority or status, capable of affording protection. Anything that covers or conceals something else; a cloak. To cover or conceal (something); to cloak; to disguise.","At the meeting, she finally assumed the mantle of leadership of the party.",0.0,,
soggy,Soaked with moisture or other liquid,,0.0,,
manacle,"a shackle, consisting of a pair of joined rings, to restrict the free movement of the hands or feet",,0.0,,
frolic,"playful behavior or merriment, movement or act. a sexual act or encounter",His frolics with silver screen divas.,0.0,,
latter,"Relating to or being the second of two items, near (or nearer) to the end. Close (or closer) to the present time.","The difference between reason and revelation, and in what sense the latter is superior. Hath not navigation discovered in these latter ages, whole nations at the bay of Soldania?",0.0,,
onset,"a beginning or start, an assault or attack","The onset of winter, an onset of the enemy.",0.0,,
eminent,"noteworthy, remarkable, great",His eminent good sense has been a godsend to this project.,0.0,,
détente,"a relaxing of tension, especially between nations, as by negotiations or agreements",,0.0,,
emanate,"to flow out, issue, or proceed, as from a source or origin; come forth; originate.",,0.0,,
immanent,"remaining within; indwelling; inherent, opposite of transcendent",,0.0,,
concoction,"the preparing of a medicine, food or other substance out of many ingredients. something made-up, an invention.",,0.0,,
taxonomic rank,the relative level of a group of organisms (a taxon) in a taxonomic hierarchy,,0.0,,
manner,"a way of doing, being done, or happening; mode of action, occurrence, etc., the way someone behaves towards people kind; sort plural: the prevailing customs, ways of living, and habits of a people, class, period, etc.; mores plural: ways of behaving with reference to polite standards; social comportment",I don't like the manner in which he complained. What manner of man is he? All manner of things were happening. The novels of Jane Austen are concerned with the manners of her time. That child has good manners.,0.0,,
rowdy,loud and disorderly; riotous; boisterous,,0.0,,
preemie,a baby that has been born prematurely,,0.0,,
gangly,"tall and thin, especially so as to cause physical awkwardness",,0.0,,
tushie,"buttocks, bottom",,0.0,,
enabler,one who helps something to happen one who encourages a bad habit in another (typically drug addiction) by their behaviour,,0.0,,
boff,quick sexual intercourse which includes the man not taking off his pants and alot of dry humping,,0.0,,
angular,having an angle or angles; forming an angle or corner sharp-cornered; pointed ungraceful; lacking grace sharp and stiff in character,"In overall appearance, katakana symbols are more angular in shape and hiragana are more rounded. She is an angular female.",0.0,,
mote,a tiny piece of anything,We live on a mote of dust suspended in a sunbeam,0.0,,
datum,an item of factual information derived from measurement or research,"If you can't find one single datum to support your theory, it's time for another theory.",0.0,,
rinse,"To wash (something) quickly using water and no soap. To thoroughly defeat in an argument, fight or other competition.",You'd better rinse that stain before putting the shirt in the washing machine. Checkmate! Oh no. You got rinsed.,0.0,,
upshot,a phenomenon that follows and is caused by some previous phenomenon,The upshot of reading this sentence is that you will understand what the word upshot means.,0.0,,
hireling,a person who works only for money,A hireling will never have the right attitude or love to do things right.,0.0,,
colloquy,a conversation especially a formal one,,0.0,,
hale,"exhibiting or restored to vigorous good health cause to do through pressure or necessity, by physical, moral or intellectual means draw slowly or heavily","When it hails, ice falls from the sky and hits those hale people on the head.",0.0,,
excise,remove by cutting a tax that is measured by the amount of business done (not on property or income from real estate),Good luck with excising the excise taxes!,0.0,,
subversive,in opposition to a civil authority or government,Art or literature is considered subversive if it attempts to undermine the morals and traditions of a society.,1.0,,
betide,become of; happen to,Woe betide all who date my sister!,0.0,,
defray,bear the expenses of,"If you live in New York and are invited for a job interview in California, the company may defray the expenses of your plane ticket and hotel, especially if they really want to hire you.",0.0,,
tincture,stain or tint with a color an indication that something has been present,"After a breakup, seeing an old flame could leave a tincture of sadness.",0.0,,
torpor,a state of motor and mental inactivity with a partial suspension of sensibility,"After a huge Thanksgiving meal, my family members fall into a torpor; no one can even pick up the TV remote.",0.0,,
despoil,steal goods; take as spoils,"When we despoil the earth, we rob it of its beauty and strip it of its natural resources",0.0,,
victual,any substance that can be used as food,A toddler eating a cigarette butt doesn't quite understand what's a victual and what's not.,0.0,,
impute,attribute (responsibility or fault) to a cause or source,You might impute your ability to sing well to the thousands of dollars your parents spent in voice lessons.,0.0,,
calico,coarse cloth with a bright print,Cute calico cat.,0.0,,
treatise,a formal exposition,"Our principal published her fifty-page ""Treatise on Gum Chewing"" days before she was carted away by men in white coats.",0.0,,
berth,come into or dock at a wharf a bed on a ship or train; usually in tiers a job in an organization,"You may have heard the phrase ""to give someone a wide berth — that means to give them plenty of space.",0.0,,
sundry,consisting of a haphazard assortment of different kinds,"The phrase ""all and sundry"" refers collectively to a group of people, as in, ""I invited all and sundry of my relatives to my tea party.""",0.0,,
nave,the central area of a church,"When a bride walks down the aisle in a church, she is walking down the nave, or central area of the church.",0.0,,
repast,the food served and eaten at one time,"You should feel free to repast on cheese doodles and marshmallow flufffor your morning repast — in other words, eat junk for breakfast.",0.0,,
wan,abnormally deficient in color as suggesting physical or emotional distress,"When the light bulb in the living room burns out and leaves only wan twilight filtering in, you’ll find it impossible to read.",0.0,,
stark,severely simple complete or extreme providing no shelter or sustenance devoid of any qualifications or disguise or adornment,"The stark contrast between your music taste — punk and weird metal — and your mom's, with all her 1950's doo-wop favorites.",0.0,,
inter,place in a grave or tomb,"If you loved your cat a lot, you might want to inter her remains in the back yard and make a nice little memorial.",0.0,,
bluster,"blow hard; be gusty, as of wind act in an arrogant, overly self-assured, or conceited manner, show off","On a blustery day, you'll see trees blowing and people holding onto their hats.",0.0,,
blowout,an easy victory a sudden malfunction of a part or apparatus a joyful festivity,The blowout of a city's electrical system can be a particularly big problem. Let's have a blowout to celebrate your twenty-first birthday!,0.0,,
crass,(of persons) so unrefined as to be lacking in discrimination and sensibility,"In today's day and age, you don't have to wear black to a funeral, but to show up in clown pants is simply crass.",0.0,,
retinue,the group following and attending to some important person,"A celebrity's retinue might include a hair dresser, a personal assistant, and a toy poodle.",0.0,,
aplomb,great coolness and composure under strain,"Take a deep breath, and approach life's messes with aplomb.",0.0,,
rube,a person who is not very intelligent or interested in culture,"Rubes are usually from rural areas, and they’re also known as bumpkins, hayseeds, hicks, yahoos, yokels, and hillbillies",0.0,,
plonk,The sound made by something solid landing. To set or toss (something) down carelessly. Precisely and forcefully. Cheap or inferior everyday wine.,"When you’ve finished with the sponge, just plonk it back in the sink. He dropped his bag of tools plonk in the middle of the table.",0.0,,
abrade,"to rub or wear off; erode to wear down or exhaust, as a person; irritate",,0.0,,
hayseed,"grass seed obtained from hay. a person from the country, especially a simple, unsophisticated one.",,0.0,,
hooters,a woman's breasts,,0.0,,
pucker,"to gather or contract (a soft surface such as the skin of the face) into wrinkles or folds, or (of such a surface) to be so gathered or contracted a wrinkle, crease, or irregular fold",Worry puckered his brow.,0.0,,
thong,"a strip of leather an undergarment or swimwear consisting of very narrow strips designed to cover just the genitals and nothing more, G-string, butt floss",No! I won't buy you a thong. You're too young for that.,0.0,,
gentry,"birth; condition; rank by birth courtesy; civility; complaisance people of education and good breeding in a restricted sense, those people between the nobility and the yeomanry",,0.0,,
contentment,"the state or degree of being contented or satisfied, happiness in one's situation; satisfaction",,0.0,,
ire,iron great anger; wrath; keen resentment,"The cruel ire, red as any gleed. She lik'd not his desire; Fain would be free, but dreaded parents' ire.",0.0,,
sanitary napkin,a pad of cotton or other absorbent material worn by women to absorb the menstrual flow,"A sanitary napkin, sanitary towel, sanitary pad, menstrual pad, or pad.",0.0,,
hidebound,"narrow and rigid in opinion; inflexible oriented toward or confined to the past; extremely conservative (of a horse, cow, etc.) having the back and ribs bound tightly by the hide as a result of poor feeding","Change is a necessary part of life, even in hidebound Washington.",0.0,,
get back to someone,To communicate with someone at a later time or date,I will have to get back to my work now.,0.0,,
fruition,the fulfillment of something worked for the enjoyment derived from a possession,,0.0,,
trundle,"a low bed on wheels that can be rolled underneath another bed a small wheel or roller to wheel or roll, especially by pushing","Every morning, the vendors trundle their carts out into the market.",0.0,,
admonish,"to counsel against wrong practices; to caution or advise; to warn against danger or an offense; — followed by of, against, or a subordinate clause",Admonition.,0.0,,
color,to cause to appear different from the reality to give a special character or distinguishing quality to,"In order to influence the jury, he colored his account of what had happened. His personal feelings color his writing.",0.0,,
at no time,Never,At no time did I claim responsibility for the accident—he's lying about that.,0.0,,
hear from,"To get a letter, telephone call, or transmitted communication from. To be reprimanded by","Have you heard from Jane recently? If you don't do your homework, you're going to hear from me.",0.0,,
drive on,to continue driving to motivate one to persist in some task or goal,"How much longer should we drive on before stopping for the night? What drives on this character to survive? In this usage, a noun or pronoun can be used between ""drive"" and ""on.""",0.0,,
finish off,to finish the last part of something to kill someone or something that is wounded and near death,"Here, take the last piece and finish off the pie. A noun or pronoun can be used between ""finish"" and ""off."" You need to finish off the deer you've shot—don't let it suffer. A noun or pronoun can be used between ""finish"" and ""off.""",0.0,,
join in,to start participating in something,"Come on, Davey, join in the fun. Just because the other kids were making fun of him doesn't mean you should have joined in.",0.0,,
discrepancy,an inconsistency between facts or sentiments,"They found a discrepancy between the first set of test results and the second, and they're still trying to figure out why.",0.0,,
niggard,"sparing; stinting; parsimonious, miserly or stingy. to hoard; to act stingily","It was, however, the pleasure of his niggard and unhappy fortune, that in seeking a place proper for his accommodation, he and Dapple tumbled into a deep and very dark pit, among a number of old buildings. Within thine own bud buriest they content And, tender churl, mak'st waste in niggarding.",0.0,,
dried apricots,apricots that have had all the moisture taken out of them,,0.0,,
hazardous,full of risk; perilous; risky dependent on chance,A hazardous journey.,0.0,,
mutinous,unruly; disaffected turbulent and uncontrollable,"Mutinous passions, and conflicting fears.",0.0,,
mutiny,forcible or passive resistance to lawful authority revolt (as of a naval crew) against discipline or a superior officer,The sailors staged a mutiny and took control of the ship.,0.0,,
blue,Dismal; dreary Puritanical; strict. Aristocratic; patrician. Indecent; risqué,a blue day. a blue joke; a blue movie.,0.0,,
concert,agreement of two or more individuals in a design or plan; combined action; accord or harmony to plan or act together.,His plan was greeted with a concert of abuse. They were able to concert a settlement of their differences.,0.0,,
despondent,In low spirits from loss of hope or courage,,0.0,,
quicksand,"wet sand that things readily sink in, often found near rivers or coasts anything that pulls one down or buries one metaphorically","My feet were firmly lodged in the quicksand, and the more I struggled the more I sank into it. The quicksands of youth...",0.0,,
veer,"A turn or swerve To change direction or course suddenly; to swerve. To shift in a clockwise direction (if in the Northern Hemisphere, or in a counterclockwise direction if in the Southern Hemisphere). To change direction into the wind; to wear ship.","The car slid on the ice and veered out of control. And as he leads, the following navy veers.",0.0,,
innate,Inborn; existing or having existed since birth. Instinctive; coming from instinct.,,0.0,,
save up,accumulate money for future use,He's been saving up for a new bike.,0.0,,
think of,keep in mind for attention or consideration,"He told me his name, but I can't think of it now.",0.0,,
keep in,to stay indoors to restrain (an emotion); repress to detain (a schoolchild) after hours as a punishment (of a fire) to stay alight or to cause (a fire) to stay alight to allow a constant supply of * with: to maintain good relations with,Her prize money kept her in new clothes for a year. I think it's important to keep in with your colleagues.,0.0,,
inter alia,among other things,,0.0,,
lanky,"tall, slim, and rather ungraceful or awkward",,0.0,,
hack,"to cut or chop with repeated and irregular blows to gain access to (a computer file or network) illegally or without authorization one who undertakes unpleasant or distasteful tasks for money or reward; a hireling, a writer hired to produce routine or commercial writing hackneyed; banal",hacked down the saplings. hacked the firm's personnel database.,0.0,,
hone,"A sharpening stone composed of extra-fine grit used for removing the burr or curl from the blade of a razor or some other edge tool. To refine or master (a skill), to make more acute, intense, or effective.",,0.0,,
wondrous,"amazing, inspiring awe; marvelous, in a wonderful degree; remarkably",We all stared open-mouthed at the wondrous sight.,0.0,,
lopsided,not even or balanced; not the same on one side as on the other,"Carrying a heavy suitcase, he walked with a lopsided gait.",0.0,,
loll,"To act lazily or indolently while reclining; to lean; to lie at ease. To hang extended from the mouth, like the tongue of an animal heated from exertion.",The ox stood lolling in the furrow.,0.0,,
laurel,"An evergreen shrub, of the genus Laurus, having aromatic leaves of a lanceolate shape, with clusters of small, yellowish white flowers in their axils. Honor, distinction, fame.",To win laurels; to crown with laurels.,0.0,,
wreath,"a circular band of flowers, foliage, or any ornamental work, for adorning the head or for any decorative purpose; a garland or chaplet. any ringlike, curving, or curling mass or formation",A wreath of clouds.,0.0,,
immaculate,"having no stain or blemish; spotless, undefiled, clear, pure","Thou sheer, immaculate and silver fountain.",0.0,,
dubious,"Arousing doubt; questionable; open to suspicion. In disbelief; wavering, uncertain, or hesitating in opinion; inclined to doubt; undecided.","After he made some dubious claims about the company, fewer people trusted him. She was dubious about my plan at first, but later I managed to persuade her to cooperate.",0.0,,
girth,"a band passed under the belly of an animal, which holds a saddle in place one's waistline circumference, most often a large one the distance measured around an object","He's a lusty, jolly fellow, that lives well, at least three yards in the girth.",0.0,,
trounce,"to win against (someone) by a wide margin; to beat thoroughly, to defeat heavily to punish, to beat severely; thrash",,0.0,,
double cross,"an act of treachery, perpetrated on a previous partner in a deceit",I could no longer tolerate his impudent double-crossing.,0.0,,
Alaska pollock,"derpcod, or walleye pollock is a marine fish species of the cod family Gadidae",,0.0,,
hunk,"A large piece; a chunk A physically attractive man, usually with a well-developed physique.",A hunk of fresh bread.,0.0,,
wash up,"clean the plates, dishes etc... after a meal",I hate washing up. I hate doing washing up.,0.0,,
excruciating,"causing great pain or anguish, agonizing exceedingly intense; extreme",The nation's most excruciating dilemma.,0.0,,
callous,Emotionally hardened; unfeeling and indifferent to the suffering/feelings of others.,She was so callous that she could criticise a cancer patient for wearing a wig.,0.0,,
well,"very (as a general-purpose intensifier) to issue forth, as water from the earth; to flow; to spring","Hey, you should've seen it, it was well good. [Blood] welled from out the wound.",0.0,,
cartwheel,"A gymnastic maneuver whereby the gymnast rotates to one side or the other while keeping arms and legs outstretched, spinning for one or more revolutions. To flip end over end: normally said of a crashing vehicle or aircraft.",The race car hit a bump and cartwheeled over the finish line.,0.0,,
solemn,"deeply serious and somber somberly impressive, performed with great ceremony sacred",,0.0,,
callus,"a thickened and hardened part of the skin or soft tissue, especially in an area that has been subjected to friction.",,0.0,,
harlot,"a woman who has many casual sexual encounters or relationships, a prostitute",,0.0,,
emaciate,to make extremely thin or wasted to become extremely thin or wasted,,0.0,,
tepid,Lukewarm; neither warm nor cool. Uninterested; exhibiting little passion or eagerness.,I'm drinking a cup of tepid water. He gave me a tepid response to the proposal.,0.0,,
semolina,Coarse grains produced at an intermediate stage of wheat flour milling.,,0.0,,
garnet,"A hard transparent mineral that is often used as gemstones and abrasives. A dark red color, like that of the gemstone. To shred (twisted wool fiber, rags, etc.) so that it can be reused.",,0.0,,
pomegranate,"a fruit-bearing shrub or small tree, Punica granatum","Persephone is taken to the underworld by Hades to be his queen. She willingly eats a seed of pomegranate and is forced to spend every winter with her husband in the land of the dead, symbolizing the yearly decay and revival of vegetation.",0.0,,
swamp,"A piece of wet, spongy land; low ground saturated with water. To drench or fill with water. To overwhelm; to make too busy, or overrun the capacity of. To plunge into difficulties and perils; to overwhelm; to ruin; to wreck.",The boat was swamped in the storm. I have been swamped with paperwork ever since they started using the new system. Having swamped himself in following the ignis fatuus of a theory...,0.0,,
buckwheat,"An Asian plant, of the species Fagopyrum esculentum or the fruit of this plant used as a pseudocereal",,0.0,,
condensed milk,Milk that has been reduced and sweetened to the consistency of syrup.,,0.0,,
dishevel,"To throw into disorder; upheave, to spread out in disorder. Make (a person's hair or clothes) untidy.","Like the fair flower dishevelled in the wind. He ran one hand through his hair, further disheveling it",0.0,,
irate,Extremely angry; wrathful; enraged,,0.0,,
litany,A ritual liturgical prayer in which a series of prayers recited by a leader are alternated with responses from the congregation. A prolonged or tedious list.,,0.0,,
impalement,"the penetration of a human by an object such as a stake, pole, spear, or hook, often by the complete or partial perforation of the torso.",,0.0,,
silage,Fermented green forage fodder stored in a silo,,0.0,,
buoyant,"having buoyancy; able to float, lighthearted and lively",I’m in a buoyant mood.,0.0,,
buoyancy,The ability of an object to stay afloat in a fluid. Resilience or cheerfulness.,,0.0,,
sodden,"soaked or drenched with liquid; soggy, saturated drunk; stupid as a result of drunkenness dull, expressionless (of a person’s appearance)",You whoreson sodden headed sheepes-face ...,0.0,,
junior,"Of, for, or constituting students in the third year of a US high school or college Lesser in scale than the usual. Younger in years Used to distinguish a son from his father when they have the same given name.",the junior class. junior citizens.,0.0,,
senior,of or relating to the fourth and last year of high school or college older in years used to distinguish the father from the son with the same first name or names,Our senior class. Senior citizens.,0.0,,
eggnog,"a rich, chilled, sweetened, dairy-based beverage","Eggnog is typically made from milk, egg yolks, rum, and spices.",0.0,,
vigil,"an instance of keeping awake during normal sleeping hours, especially to keep watch or pray a quiet demonstration in support of a cause",His dog kept vigil outside the hospital for eight days while he was recovering from an accident. The protesters kept vigil outside the conference centre in which the party congress was being held.,0.0,,
smattering,a superficial or shallow knowledge of a subject a small number or amount of something,"She knows a smattering of Greek, but not enough to carry on a conversation. There’s only a smattering of people who oppose the first amendment.",0.0,,
anvil,a heavy iron block used in the blacksmithing trade as a surface upon which metal can be struck and shaped. a stone or other hard surface used by a bird for breaking the shells of snails.,"I saw a smith stand with his hammer, thus, The whilst his iron did on the anvil cool, With open mouth swallowing a tailor’s news ...",0.0,,
pester,"to bother, harass, or annoy persistently a bother or nuisance",,0.0,,
shackle,"A restraint fit over a human or animal appendage, such as a wrist, ankle or finger. Usually used in plural, to indicate a pair joined by a chain; a hobble. A restraint on one's action, activity, or progress. A link for connecting railroad cars; a drawlink or draglink. By extension, to render immobile or incapable; to inhibit the progress or abilities of someone or something.",His very will seems to be in bonds and shackles. This law would effectively shackle its opposition.,0.0,,
shin,The front part of the leg below the knee,,0.0,,
arid,Describing a very dry climate. Typically defined as less than 25 cm or 10 inches of rainfall annually. Devoid of value.,,0.0,,
canny,"Careful, prudent, cautious. Knowing, shrewd, astute. Frugal, thrifty.",,0.0,,
horrendous,extremely bad; awful; terrible,My journey to work this morning was horrendous: there was horrendous carnage at the scene of the plane crash.,0.0,,
dais,"A raised platform in a room for a high table, a seat of honour, a throne, or other dignified occupancy",,0.0,,
dog,"someone who is morally reprehensible to pursue with the intent to catch, to follow in an annoying or harassing way to fasten a hatch securely to watch, or participate, in sexual activity in a public place to intentionally restrict one's productivity as employee; to work at the slowest rate that goes unpunished",She’s a real dog. The woman cursed him so that trouble would dog his every step. It is very important to dog down these hatches... I admit that I like to dog at my local country park. A surprise inspection of the night shift found that some workers were dogging it.,0.0,,
chickpea,"An annual Asian plant (Cicer arietinum) (also known as Bengal gram, garbanzo) in the pea family, widely cultivated for the edible seeds in its short inflated pods.",Chickpea is valued for its nutritive seeds with high protein content.,0.0,,
belate,To retard; cause something to be late; delay; benight.,,0.0,,
divest,"To undress, disrobe. To strip, deprive, or dispossess (someone) of something (such as a right, passion, privilege, or prejudice). To sell off or be rid of through sale, especially of a subsidiary",You shall never divest me of my right to free speech. As Glasgow becomes the first university in Europe to divest from fossil fuels.,0.0,,
indemnity,"security from damage, loss, or penalty, repayment; compensation for loss or injury",,0.0,,
interloper,"One who interferes, intrudes or gets involved where not welcome, particularly a self-interested intruder.","They disliked the interloper, and forced him to leave.",0.0,,
rivet,any fixed point or certain basis a permanent mechanical fastener,,0.0,,
shawl,"a square or rectangular piece of cloth worn as a covering for the head, neck, and shoulders",She wears her shawl when it's cold outside.,0.0,,
tabernacle,"Any temporary dwelling; a hut, tent, or booth. Any house of worship; used especially of Mormon churches. Any abode or dwelling place, or especially the human body as the temporary dwelling place of the soul, or life.",The tabernacles of robbers prosper.,0.0,,
desist,to cease to proceed or act; to stop; (often with from),Please desist from telephoning me on this number.,0.0,,
fiend,A devil or demon; a malignant or diabolical being; an evil spirit. An addict or fanatic.,"Be that word our sign of parting, bird or fiend! He's been a jazz fiend since his teenage years.",0.0,,
homily,a moralizing lecture a platitude,,0.0,,
foliage,The leaves of plants.,"She saw a crimson cardinal winging through the foliage, and amorous tanagers flashing like scarlet flames athwart the pines.",0.0,,
chirrup,"To make a series of chirps, clicks or clucks.",The crickets chirruped their song.,0.0,,
pinafore,"A sleeveless dress, often similar to an apron, generally worn over other clothes. Most often worn by young girls as an overdress.",,0.0,,
poltroon,an ignoble or total coward; a dastard; a mean-spirited wretch,"You damned poltroon, you never tried them!",0.0,,
brimstone,"The sulfur of Hell; Hell, damnation.",,0.0,,
lea,"an open field, meadow",Two children in two neighbor villages Playing mad pranks along the heathy leas.,0.0,,
discern,"To detect with the senses, especially with the eyes. To perceive differences.",He was too young to discern right from wrong.,0.0,,
inanition,"emptiness; emptying a state of advanced lack of adequate nutrition, food or water, or a physiological inability to utilize them; starvation a spiritual emptiness or lack of purpose or will to live","It was a small celebration: not much money to spend, and an enormous inanition eating away the faith.",0.0,,
buxom,"(of a woman) Having a full, voluptuous figure, especially possessing large breasts.",,0.0,,
grace,"charming, pleasing qualities free and undeserved favour, especially of God, divine assistance in resisting sin short prayer of thanks before or after a meal to adorn; to decorate; to embellish and dignify",The Princess brought grace to an otherwise dull and boring party. I'm so grateful to God for the grace that He has given me. It has become less common to say grace before having dinner. He graced the room by simply being there.,0.0,,
rancid,Rank in taste or smell. Offensive.,"The house was deserted, with a rancid half-eaten meal still on the dinner table. His remarks were rancid; everyone got up and left.",0.0,,
animadversion,"A criticism, a critical remark.",,0.0,,
flog,to whip or scourge someone or something as punishment to use something to extreme; to abuse to sell something to steal something to defeat easily or convincingly,,1.0,,
meed,"A payment or recompense made for services rendered or in recognition of some achievement; reward, deserts; award. A gift; bribe.","Better to merit and the meed to miss,than, lacking merit, every meed possess.",0.0,,
chilblain,"An itchy purple red inflammation of the skin, especially of the hands, feet and ears, occurring when capillaries below the skin are damaged by exposure to cold weather.",Our ungloved hands became numbed and covered with chilblains.,0.0,,
exigency,"the demands or requirements of a situation an urgent situation, a situation requiring extreme effort or attention",,0.0,,
stalwart,"Firmly or solidly built. Courageous, determined; staunch.",,0.0,,
bounteous,"Inclined to be generous, liberal or abundant",,0.0,,
mistimed,Done at the wrong time.,My mistimed leap was declared a false start since I leaped before the gun.,0.0,,
excrescence,"Something, usually abnormal, which grows out of something else.",,0.0,,
knell,"To signal or proclaim something (especially a death) by ringing a bell. To summon by, or as if by, ringing a bell.","...he is able to pierce a corselet with his eye; talks like a knell, and his hum is a battery.",0.0,,
palsy,"Complete or partial muscle paralysis of a body part, often accompanied by a loss of feeling and uncontrolled body movements such as shaking. Chummy, friendly.",,0.0,,
pathos,"The quality or property of anything which touches the feelings or excites emotions and passions, especially that which awakens tender emotions, such as pity, sorrow, and the like; contagious warmth of feeling, action, or expression; pathetic quality. A writer or speaker's attempt to persuade an audience through appeals involving the use of strong emotions such as pity. Suffering; the enduring of active stress or affliction.","His voice had a genuine pathos now, and his large brown hands perceptibly trembled.",0.0,,
shirk,"To avoid, especially a duty, responsibility, etc.; to stay away from. To procure by petty fraud and trickery; to obtain by mean solicitation.",The usual makeshift by which they try to shirk difficulties.,0.0,,
effluence,something that flows out; the issue,,0.0,,
lineament,"Any distinctive shape or line, etc. A distinctive feature that characterizes something, especially the parts of the face of an individual.","... a mask of iron on his face hid the lineaments of ancient Kings, and the frown of the eternal lion was hid from the oppressed earth.",0.0,,
mien,"Demeanor; facial expression or attitude, especially one which is intended by its bearer.",,0.0,,
construe,"to interpret or explain the meaning of something, to translate",The world must construe according to its wits; this court must construe according to the law.,0.0,,
asunder,into separate parts or pieces; apart.,"Lest anyone find her treasure, she tore the map asunder and cast its pieces into the wind.",0.0,,
primrose,A flowering plant of the genus Primula. A light yellow colour.,We went primrosing on Sunday and returned with a full basket.,0.0,,
pastille,"a soft flavoured sweet/candy a small granular half-spheroid piece of material a small cone of charcoal and aromatic substances, burned either as incense, or as a means of diffusing an agreeable odour",,0.0,,
effluvium,"a gaseous or vaporous emission, especially a foul-smelling one",,0.0,,
sumptuous,"magnificent, luxurious, splendid",,0.0,,
racy,Mildly risqué. Exciting to the mind by a strong or distinctive character of thought or language; peculiar and piquant; fresh and lively.,She wore a racy dress that was just barely appropriate for the occasion.,0.0,,
inquire,make a formal investigation,Adam helped the police with their inquiries.,0.0,,
put somebody off doing something,Cause somebody not to want something or to do something,"We wanted to go to the exhibition, but we were put off by the long queue. What put you off applying for the job? was the salary too low? Note: we don't say put off from applying",0.0,,
brackish,"(of water) salty or slightly salty, as a mixture of fresh and sea water, such as that found in estuaries distasteful; unpleasant; not appealing to the taste, repulsive",,0.0,,
fetid,"foul-smelling, stinking",,0.0,,
imbibe,to drink (used frequently of alcoholic beverages) to take in; absorb,To imbibe knowledge.,0.0,,
soliloquy,The act of a character speaking to themselves so as to reveal their thoughts to the audience.,At the end of the second act the main villain gave a soliloquy detailing his plans to attack the protagonist.,0.0,,
sublunary,"Situated between the earth and the moon of this world (as opposed to heaven etc.); earthly, terrestrial",,0.0,,
deadlock,"a state in which progress is impossible, as in a dispute, produced by the counteraction of opposing forces; standstill; stalemate a maximum-security cell for the solitary confinement of a prisoner",The union and management reached a deadlock over fringe benefits.,0.0,,
grandeur,"The state of being grand or splendid; magnificence, nobility",,0.0,,
rookery,A colony of breeding birds or other animals. A crowded tenement.,,0.0,,
craggy,"Characterized by rugged, sharp, or coarse features.",The goat climbed up the craggy rocks.,0.0,,
hamlet,a small village or a group of houses,,0.0,,
lisp,"To speak with imperfect articulation; to mispronounce, such as a child learning to talk.","Lest when my lisping, guilty tongue should halt.",0.0,,
docile,Ready to accept instruction or direction; obedient; subservient.,,0.0,,
spar,"A rafter of a roof. A thick pole or piece of wood. to fight, especially as practice for martial arts or hand-to-hand combat. to contest in words; to wrangle.",,0.0,,
boudoir,"a woman's private sitting room, dressing room, or bedroom",,0.0,,
salient,"worthy of note; pertinent or relevant, prominent; conspicuous projecting outwards, pointing outwards","The article is not exhaustive, but it covers the salient points pretty well.",0.0,,
cherub,"A winged creature represented over 90 times in the Bible as attending on God, later seen as the second highest order of angels, ranked above thrones and below seraphim. A person, especially a child, seen as being particularly innocent or angelic.",,0.0,,
staid,"serious, organized, and professional; sober always fixed in the same location; stationary",,0.0,,
ardor,Great warmth of feeling; fervor; passion.,,0.0,,
causeway,"a road that is raised, so as to be above water, marshland, and similar low-lying obstacles.",,0.0,,
congeal,"to change from a liquid to solid state perhaps by cold to coagulate, to make rigid or immobile",,0.0,,
rook,"a swindler or cheat, especially at games a chess piece that may move in a straight line over any number of empty squares in a rank or file. Also called castle a black, bare-faced Eurasian crow",,0.0,,
bishop,"A usually miter-shaped chess piece that can move diagonally across any number of unoccupied spaces. a spiritual supervisor, overseer, or the like.",,0.0,,
knight,"a chess piece, usually shaped like a horse's head, that moves either two squares horizontally and one square vertically or one square horizontally and two squares vertically",,0.0,,
leeway,"A varying degree or amount of freedom or flexibility; margin, latitude, elbowroom.",I don't think we have a lot of leeway when it comes to proper formatting.,0.0,,
pollard,A pruned tree; the wood of such trees,Only a little pollard hedge kept us from their blood-shot eyes.,0.0,,
rill,a very small brook; a streamlet.,,0.0,,
choler,Anger or irritability.,,0.0,,
accost,"to assault (the most common modern usage) to approach and speak to boldly or aggressively, as with a demand or request to speak to first; to address; to greet to adjoin; to lie alongside",,0.0,,
confound,"To confuse, to puzzle, to fail to see the difference; to mix up; to confuse right and wrong. To make something worse. To cause to be ashamed; to abash. To defeat, to frustrate, to thwart.",Don't confound the situation by yelling. His actions confounded the skeptics.,0.0,,
interlocutor,a person who takes part in dialogue or conversation.,Explanations which continually remind one's interlocutor of one's ignorance are a great damper upon the easy flow of talk.,0.0,,
upend,"to stand, set, or turn on one end to invalidate, destroy, or change completely; overthrow to win victory over; defeat",Upend an oblong box. Upended a popular legend.,0.0,,
ditto,"That which was stated before, the aforesaid, the above, the same, likewise. A duplicate or copy of a document, particularly one created by a spirit duplicator. As said before, likewise. To repeat the aforesaid, the earlier action etc.","A spacious table in the centre, and a variety of smaller dittos in the corners. Please run off twenty-four dittos of this assignment, for my students.",0.0,,
